Depth[m] Velocity[m/s] TWT[ms]
0.0 1493.52 0.40816326530612257
0.3048 1493.7554436876662 0.816262196477257
0.6096 1493.9909616193602 1.224296793513403
0.9144000000000001 1494.2265538302054 1.632267056414561
1.2192 1494.4622203553472 2.040172985180731
1.524 1494.6979612299533 2.4480145798119124
1.8288000000000002 1494.9337764892136 2.8557918403081057
2.1336 1495.1696661683402 3.263504766669311
2.4384 1495.4056303025675 3.671153358895528
2.7432000000000003 1495.6416689271516 4.078737616986756
3.048 1495.8777820773716 4.486257540942996
3.3528000000000002 1496.1139697885285 4.893713130764248
3.6576000000000004 1496.350232095946 5.301104386450512
3.9624 1496.5865690349694 5.708431308001788
4.2672 1496.8229806409672 6.115693895418075
4.572 1497.0594669493291 6.522892148699374
4.8768 1497.2960279954686 6.930026067845685
5.1816 1497.5326638148206 7.337095652857008
5.486400000000001 1497.7693744428423 7.744100903733343
5.7912 1498.006159915014 8.15104182047469
6.096 1498.2430202668381 8.557918403081048
6.4008 1498.4799555338395 8.964730651552419
6.7056000000000004 1498.7169657515653 9.3714785658888
7.010400000000001 1498.9540509555857 9.778162146090194
7.315200000000001 1499.191211181493 10.1847813921566
7.62 1499.4284464649015 10.591336304088017
7.9248 1499.6657568414496 10.997826881884446
8.2296 1499.9031423467964 11.404253125545887
8.5344 1500.140603016625 11.81061503507234
8.8392 1500.3781388866403 12.216912610463805
9.144 1500.6157499925705 12.623145851720281
9.4488 1500.8534363701654 13.02931475884177
9.7536 1501.0911980551987 13.43541933182827
10.0584 1501.329035083466 13.841459570679781
10.3632 1501.566947490785 14.247435475396305
10.668000000000001 1501.8049353129977 14.65334704597784
10.972800000000001 1502.042998585968 15.059194282424388
11.277600000000001 1502.2811373455822 15.464977184735947
11.5824 1502.5193516277502 15.870695752912518
11.8872 1502.757641468403 16.2763499869541
12.192 1502.9960069034964 16.681939886860693
12.4968 1503.2344479690082 17.087465452632298
12.8016 1503.4729647009392 17.492926684268916
13.1064 1503.711557135312 17.898323581770544
13.411200000000001 1503.9502253081737 18.303656145137186
13.716000000000001 1504.1889692555933 18.708924374368838
14.020800000000001 1504.427789013663 19.114128269465503
14.325600000000001 1504.6666846184974 19.51926783042718
14.630400000000002 1504.9056561062355 19.924343057253868
14.9352 1505.1447035130373 20.329353949945567
15.24 1505.383826875087 20.73430050850228
15.5448 1505.623026228592 21.139182732924002
15.8496 1505.8623016097815 21.54400062321074
16.154400000000003 1506.1016530549093 21.948754179362485
16.4592 1506.3410806002505 22.353443401379245
16.764 1506.5805842821048 22.758068289261015
17.0688 1506.8201641367943 23.1626288430078
17.3736 1507.0598202006647 23.567125062619592
17.6784 1507.2995525100837 23.9715569480964
17.9832 1507.5393611014433 24.375924499438216
18.288 1507.7792460111584 24.780227716645047
18.5928 1508.0192072756663 25.184466599716888
18.8976 1508.259244931429 25.588641148653743
19.2024 1508.4993590149304 25.992751363455607
19.5072 1508.7395495626777 26.396797244122485
19.812 1508.979816611202 26.800778790654373
20.1168 1509.220160197058 27.204696003051275
20.4216 1509.4605803568224 27.608548881313187
20.7264 1509.7010771270961 28.012337425440112
21.031200000000002 1509.9416505445033 28.416061635432047
21.336000000000002 1510.1823006456912 28.819721511288996
21.640800000000002 1510.4230274673307 29.223317053010955
21.945600000000002 1510.6638310461155 29.626848260597928
22.250400000000003 1510.9047114187638 30.03031513404991
22.555200000000003 1511.145668622016 30.433717673366907
22.86 1511.386702692637 30.837055878548913
23.1648 1511.6278136674143 31.240329749595933
23.4696 1511.8690015831596 31.643539286507963
23.7744 1512.1102664767072 32.046684489285006
24.0792 1512.3516083849165 32.44976535792706
24.384 1512.5930273446681 32.85278189243413
24.6888 1512.834523392868 33.25573409280621
24.9936 1513.0760965664456 33.658621959043295
25.2984 1513.3177469023533 34.0614454911454
25.6032 1513.5594744375674 34.46420468911251
25.908 1513.8012792090872 34.86689955294464
26.2128 1514.0431612539367 35.26953008264177
26.5176 1514.2851206091625 35.672096278203924
26.822400000000002 1514.5271573118364 36.074598139631085
27.127200000000002 1514.7692713990523 36.47703566692326
27.432000000000002 1515.011462907929 36.87940886008044
27.736800000000002 1515.2537318756079 37.28171771910264
28.041600000000003 1515.496078339255 37.683962243989846
28.346400000000003 1515.73850233606 38.086142434742065
28.651200000000003 1515.9810039032361 38.488258291359294
28.956000000000003 1516.223583078021 38.89030981384154
29.260800000000003 1516.4662398976748 39.292297002188796
29.5656 1516.7089743994834 39.69421985640106
29.8704 1516.951786620755 40.09607837647834
30.1752 1517.1946765988223 40.49787256242063
30.48 1517.4376443710416 40.899602414227935
30.7848 1517.6806899747942 41.30126793190025
31.0896 1517.9238134474836 41.70286911543757
31.3944 1518.167014826539 42.10440596483991
31.6992 1518.410294149412 42.50587848010726
32.004000000000005 1518.6536514535799 42.907286661239624
32.308800000000005 1518.8970867765427 43.308630508236995
32.6136 1519.1406001558253 43.70991002109938
32.9184 1519.3841916289753 44.11112519982678
33.2232 1519.6278612335666 44.51227604441919
33.528 1519.871609007195 44.913362554876606
33.8328 1520.1154349874819 45.31438473119904
34.1376 1520.3593392120722 45.715342573386486
34.4424 1520.6033217186352 46.11623608143894
34.7472 1520.847382544864 46.51706525535641
35.052 1521.0915217284767 46.91783009513889
35.3568 1521.3357393072145 47.31853060078638
35.6616 1521.580035318844 47.719166772298884
35.9664 1521.824409801155 48.119738609676396
36.2712 1522.0688627919628 48.520246112918926
36.576 1522.3133943291054 48.920689282026466
36.8808 1522.5580044504466 49.321068116999015
37.1856 1522.8026931938741 49.721382617836575
